== ReadHeavy
-- CrossbeamSkipMap
2023-04-24T06:27:29.790899Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: workload mix finished spent=3.519140098s ops=16777216 avg=208ns
2023-04-24T06:27:32.098637Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: generating operation mix
2023-04-24T06:27:32.098649Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: generating key space
2023-04-24T06:27:32.178248Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: constructing initial table
2023-04-24T06:27:38.248938Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: start workload mix
2023-04-24T06:27:41.770797Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: workload mix finished spent=3.521704917s ops=16777216 avg=209ns
2023-04-24T06:27:44.078686Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: generating operation mix
2023-04-24T06:27:44.078704Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: generating key space
2023-04-24T06:27:44.161733Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: constructing initial table
2023-04-24T06:27:50.499653Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: start workload mix
2023-04-24T06:27:53.749157Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: workload mix finished spent=3.249473504s ops=16777216 avg=192ns
2023-04-24T06:27:56.056342Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: generating operation mix
2023-04-24T06:27:56.056355Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: generating key space
2023-04-24T06:27:56.144493Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: constructing initial table
2023-04-24T06:28:02.867679Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: start workload mix
2023-04-24T06:28:05.991447Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: workload mix finished spent=3.123743026s ops=16777216 avg=185ns
2023-04-24T06:28:08.300389Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: generating operation mix
2023-04-24T06:28:08.300401Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: generating key space
2023-04-24T06:28:08.393236Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: constructing initial table
2023-04-24T06:28:15.393083Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: start workload mix
2023-04-24T06:28:18.462871Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: workload mix finished spent=3.069758183s ops=16777216 avg=182ns
2023-04-24T06:28:20.771979Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: generating operation mix
2023-04-24T06:28:20.772148Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: generating key space
2023-04-24T06:28:20.846358Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: constructing initial table
2023-04-24T06:28:28.089247Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: start workload mix
2023-04-24T06:28:30.997116Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: workload mix finished spent=2.907844133s ops=16777216 avg=173ns
2023-04-24T06:28:33.306008Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: generating operation mix
2023-04-24T06:28:33.306022Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: generating key space
2023-04-24T06:28:33.383769Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: constructing initial table
2023-04-24T06:28:40.923901Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: start workload mix
2023-04-24T06:28:43.948059Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: workload mix finished spent=3.024134735s ops=16777216 avg=179ns
2023-04-24T06:28:46.260771Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: generating operation mix
2023-04-24T06:28:46.260783Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: generating key space
2023-04-24T06:28:46.340069Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: constructing initial table
2023-04-24T06:28:54.186819Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: start workload mix
2023-04-24T06:28:57.103045Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: workload mix finished spent=2.916205128s ops=16777216 avg=173ns
